"provinces","election_units","candidates","n_ballots","percentage"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Nguyễn Phú Trọng","356780","86.47"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Nguyễn Doãn Anh","299827","72.67"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Bà Trần Thị Phương Hoa","274606","66.56"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Phạm Xuân Anh","151978","36.83"
"HÀ NỘI","Gồm các quận: Ba Đình, Hoàn Kiếm và Tây Hồ","Ông Phan Thanh Chung","144577","35.04"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Trần Việt Khoa","328598","69.08"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Hoàng Văn Cường","310251","65.22"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Nguyễn Quang Tuấn","304590","64.03"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Hoàng Châu Sơn","240203","50.50"
"HÀ NỘI","Gồm các quận: Đống Đa và Hai Bà Trưng","Ông Nguyễn Hồng Sơn","222315","46.74"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Nguyễn Phi Thường","391445","72.78"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Bà Nguyễn Thị Bích Ngọc","389938","72.50"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Bà Đào Tú Hoa","293698","54.61"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Nguyễn Hữu Thỉnh","277721","51.64"
"HÀ NỘI","Gồm các quận: Hà Đông, Thanh Xuân và Cầu Giấy","Ông Tạ Văn Thảo","236420","43.96"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Nguyễn Hữu Chính","443055","74.71"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Lê Quân","392491","66.18"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Bà Dương Minh Ánh","358073","60.38"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Đàm Hữu Đắc","288769","48.69"
"HÀ NỘI","Gồm quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm","Ông Nguyễn Hữu Ninh","275560","46.47"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Nguyễn Thị Nguyệt Hường","427836","78.51"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Ông Đỗ Đức Hồng Hà","417935","76.69"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Ông Đào Thanh Hải","403473","74.04"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Lê Phương Linh","190742","35"
"HÀ NỘI","Gồm các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức","Bà Nguyễn Thị Thanh","178324","32.72"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Bà Trần Thị Quốc Khánh","412570","71.41"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Bà Nguyễn Thị Lan","390714","67.62"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Nguyễn Văn Chiến (Nguyễn Chiến)","324651","56.19"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Lê Vĩnh Sơn","303336","52.50"
"HÀ NỘI","Gồm các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín","Ông Phan Xuân Tuy","274011","47.43"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Nguyễn Quốc Bình","336913","67.78"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Nguyễn Quốc Hưng","306104","61.58"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Ông Dương Quang Thành","294631","59.27"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Bà Bùi Thị An","266104","53.53"
"HÀ NỘI","Gồm các huyện: Quốc Oai, Chương Mỹ và Thanh Oai","Bà Lê Thị Oanh","262302","52.77"
